"csv_file","fname","Trial_ID","Location","State","Year","Unif_Brand","Unif_Hybrid","Unif_Name","planting_date","harvest_date","planting_doy","harvest_doy","lat","lon","named_location","garden_city","garden_county","geolocation_precision","crop_failure","yield_adj_needed","Irrigated","Oil_Confection","variety_traits","oil_pct","yield_lb_acre","flower_50pct_days_past_planting","flower_50_doy","mature_days_past_planting","mature_doy","mature_days_past_planting_censored","oil_yield_lb_acre_new","harvest_moisture_pct","height_cm","plants_per_thousandth_acre","head_diameter_cm","seed_weight_grams_per_200","test_weight_lbs_bushel"
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"AgriPro","2098","AgriPro_2098",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",46.4,2542,62,211,NA,NA,"not_censored",1179.488,8.4,144.78,NA,NA,NA,29
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"AgriPro","3470","AgriPro_3470",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",46.5,2179,63,212,NA,NA,"not_censored",1013.235,9.9,157.48,NA,NA,NA,28.5
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AK 7304","Asgrow_AK 7304",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",47.1,2510,65,214,NA,NA,"not_censored",1182.21,11,142.24,NA,NA,NA,30.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AK 7305","Asgrow_AK 7305",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",46.6,2225,68,217,NA,NA,"not_censored",1036.85,10,152.4,NA,NA,NA,29
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AK 7306","Asgrow_AK 7306",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44.1,2208,64,213,NA,NA,"not_censored",973.728,10.3,147.32,NA,NA,NA,28.8
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AK 7311","Asgrow_AK 7311",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44.7,2326,66,215,NA,NA,"not_censored",1039.722,9.7,147.32,NA,NA,NA,27.7
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AS 3211","Asgrow_AS 3211",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",45.4,2319,60,209,NA,NA,"not_censored",1052.826,9.7,167.64,NA,NA,NA,30.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AS 471","Asgrow_AS 471",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",46.6,2224,59,208,NA,NA,"not_censored",1036.384,8.1,152.4,NA,NA,NA,31.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AS 5101","Asgrow_AS 5101",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",48.6,2253,60,209,NA,NA,"not_censored",1094.958,9.5,152.4,NA,NA,NA,30.5
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AS 5202","Asgrow_AS 5202",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",46.8,2246,60,209,NA,NA,"not_censored",1051.128,9.9,137.16,NA,NA,NA,29
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AS 5303","Asgrow_AS 5303",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",47.5,2378,62,211,NA,NA,"not_censored",1129.55,10.1,137.16,NA,NA,NA,29
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Asgrow","AS 6305","Asgrow_AS 6305",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",48.7,2181,67,216,NA,NA,"not_censored",1062.147,11.6,157.48,NA,NA,NA,28.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","Elisol","Cargill_Elisol",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",48.3,2203,63,212,NA,NA,"not_censored",1064.049,10,137.16,NA,NA,NA,28.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","SF 128","Cargill_SF 128",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44.2,2322,62,211,NA,NA,"not_censored",1026.324,9.2,142.24,NA,NA,NA,29.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","SF 187","Cargill_SF 187",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",45.9,2810,63,212,NA,NA,"not_censored",1289.79,13,121.92,NA,NA,NA,28.8
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","SF 270","Cargill_SF 270",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",46.4,2263,61,210,NA,NA,"not_censored",1050.032,9.9,129.54,NA,NA,NA,28.7
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","X1221","Cargill_X1221",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",48.6,2345,67,216,NA,NA,"not_censored",1139.67,15.1,144.78,NA,NA,NA,28.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","X3210","Cargill_X3210",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44.5,2291,61,210,NA,NA,"not_censored",1019.495,8.9,104.14,NA,NA,NA,31.5
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","X3272","Cargill_X3272",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",46.9,2598,62,211,NA,NA,"not_censored",1218.462,10.1,129.54,NA,NA,NA,29.5
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","X6005","Cargill_X6005",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",45.8,2450,66,215,NA,NA,"not_censored",1122.1,15.3,132.08,NA,NA,NA,27.8
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","X6007","Cargill_X6007",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44.8,2282,65,214,NA,NA,"not_censored",1022.336,9.6,144.78,NA,NA,NA,26.5
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Cargill","Rigasol","Cargill_Rigasol",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",47.3,2495,62,211,NA,NA,"not_censored",1180.135,9.1,144.78,NA,NA,NA,33.5
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Croplan Genetics","253","Croplan Genetics_253",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44.4,2116,65,214,NA,NA,"not_censored",939.504,9.3,165.1,NA,NA,NA,27.8
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Croplan Genetics","745","Croplan Genetics_745",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44.5,2409,61,210,NA,NA,"not_censored",1072.005,9.4,127,NA,NA,NA,28.8
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Croplan Genetics","757","Croplan Genetics_757",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44.9,2152,66,215,NA,NA,"not_censored",966.248,9.6,142.24,NA,NA,NA,27.8
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Croplan Genetics","803","Croplan Genetics_803",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",50,2643,61,210,NA,NA,"not_censored",1321.5,8.6,124.46,NA,NA,NA,31.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Croplan Genetics","810","Croplan Genetics_810",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",45.2,2092,66,215,NA,NA,"not_censored",945.584,11.5,142.24,NA,NA,NA,28.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Croplan Genetics","815","Croplan Genetics_815",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44,1990,70,219,NA,NA,"not_censored",875.6,13,160.02,NA,NA,NA,26.5
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Croplan Genetics","821","Croplan Genetics_821",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",44.1,1903,67,216,NA,NA,"not_censored",839.223,10.5,137.16,NA,NA,NA,26
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Dekalb","DK3790","Dekalb_DK3790",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",46.1,1870,62,211,NA,NA,"not_censored",862.07,7.6,139.7,NA,NA,NA,30.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Dekalb","DK3868","Dekalb_DK3868",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",47.1,2317,65,214,NA,NA,"not_censored",1091.307,9.9,139.7,NA,NA,NA,29
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Dekalb","DK3875","Dekalb_DK3875",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",43.9,2604,67,216,NA,NA,"not_censored",1143.156,11.5,144.78,NA,NA,NA,28.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Dekalb","EXP6861","Dekalb_EXP6861",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",45.8,2307,63,212,NA,NA,"not_censored",1056.606,8.3,149.86,NA,NA,NA,27.8
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Dekalb","EXP7793","Dekalb_EXP7793",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",50.7,2238,63,212,NA,NA,"not_censored",1134.666,9.1,154.94,NA,NA,NA,30
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Dekalb","EXP7806","Dekalb_EXP7806",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",48.1,2199,62,211,NA,NA,"not_censored",1057.719,9,132.08,NA,NA,NA,30.8
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"SeedTec","ST 2102","SeedTec_ST 2102",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",46.7,2206,62,211,NA,NA,"not_censored",1030.202,10.3,142.24,NA,NA,NA,29.8
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"SeedTec","ST 2103","SeedTec_ST 2103",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",47.1,2628,63,212,NA,NA,"not_censored",1237.788,11.2,134.62,NA,NA,NA,30.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"SeedTec","ST 2109","SeedTec_ST 2109",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",48,2415,65,214,NA,NA,"not_censored",1159.2,9.7,139.7,NA,NA,NA,29.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"SeedTec","ST 2115","SeedTec_ST 2115",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",48.7,2514,66,215,NA,NA,"not_censored",1224.318,9.7,144.78,NA,NA,NA,27.5
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"SeedTec","ST 2117","SeedTec_ST 2117",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",45,2381,67,216,NA,NA,"not_censored",1071.45,9.5,162.56,NA,NA,NA,27.5
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Genetic Resources","Pan X9701","Genetic Resources_Pan X9701",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",47.1,2117,64,213,NA,NA,"not_censored",997.107,9.4,152.4,NA,NA,NA,28.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Genetic Resources","Pan X9702","Genetic Resources_Pan X9702",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",42.6,2559,65,214,NA,NA,"not_censored",1090.134,9.8,152.4,NA,NA,NA,28.3
"1997-2006 Carrington_app_final_qc.csv","1997","Carrington_1997","Carrington","ND",1997,"Interstate","IS 3137","Interstate_IS 3137",19970529,19970930,149,273,47.5156,-99.1215,"Carrington_REC","Carrington","Foster","farm","N",NA,"dryland","oil","oil",49.6,2312,65,214,NA,NA,"not_censored",1146.752,10,160.02,NA,NA,NA,29.3
