"Year","named_location","group","State","lat","lon","n_site_yr","spread_flower_site_yr","pseudoR2_gau","badfit_gau","beta0_gau","beta1_gau","beta2_gau","AIC_gau","R2_lm","beta0_lm","beta1_lm","beta1_lm_sig","AIC_lm","preferred_mod","mod_for_cens","higher_R2","AIC_delta","n_predictors","site_yr","decade","subset"
1996,"Akron_CPER","Akron_CPER","CO",40.1526,-103.1357,31,6,0.1209,"TRUE",561.84955796,-4.75858124,0.0102098,404.2081,0.0602,11.1591,-0.0162,0.1794,404.2781,"gaussian","exclude","gaussian",-0.0699999999999932,2,"1996_Akron_CPER","3","all_exactloc"
1997,"Akron_CPER","Akron_CPER","CO",40.1526,-103.1357,31,7,0.0731,"FALSE",-638.6003983,5.58384389,-0.01206701,415.865,0.0021,6.4667,0.0038,0.8102,416.153,"gaussian","gauss","gaussian",-0.288000000000011,2,"1997_Akron_CPER","3","all_exactloc"
2014,"Alliance-Hemingford_1","Alliance-Hemingford_1","NE",42.2141,-102.9801,11,11,0.0804,"FALSE",-144.41624769,1.34624667,-0.00299053,145.4972,0.0045,6.5999,0.002,0.8464,144.369,"linear","gauss","gaussian",1.12819999999999,2,"2014_Alliance-Hemingford_1","5","all_exactloc"
2016,"Alliance-Hemingford_2","Alliance-Hemingford_2","NE",42.2141,-102.9801,15,10,0.0674,"TRUE",111.59903021,-0.93744294,0.00209645,170.0644,1e-04,6.8724,-2e-04,0.9688,169.1096,"linear","exclude","gaussian",0.954800000000006,2,"2016_Alliance-Hemingford_2","5","all_exactloc"
2012,"Bardwell_1","Bardwell_1","TX",32.269,-96.6961,17,8,0.3343,"FALSE",-56.34588637,0.92660601,-0.00334508,238.8011,0.3201,12.2116,-0.0313,0.019,237.1587,"linear","gauss","gaussian",1.64239999999998,2,"2012_Bardwell_1","5","all_exactloc"
2013,"Bardwell_2","Bardwell_2","TX",32.269,-96.6961,17,8,0.522,"FALSE",-27.38854262,0.4856929,-0.00167046,226.595,0.5186,15.0139,-0.0466,0.0016,224.7149,"linear","gauss","gaussian",1.8801,2,"2013_Bardwell_2","5","all_exactloc"
2010,"Bardwell_Beakley","Bardwell_Beakley","TX",32.269,-96.6961,13,5,0.4668,"TRUE",1365.37163596,-16.3169912,0.04900784,177.7468,0.2732,18.4775,-0.0674,0.0612,179.7754,"gaussian","exclude","gaussian",-2.02859999999998,2,"2010_Bardwell_Beakley","5","all_exactloc"
2011,"Bardwell_Beakley","Bardwell_Beakley","TX",32.269,-96.6961,11,14,0.8676,"FALSE",-32.61489657,0.55767386,-0.0019311,133.5603,0.7947,11.5741,-0.0268,2e-04,136.3804,"gaussian","gauss","gaussian",-2.8201,2,"2011_Bardwell_Beakley","5","all_exactloc"
1987,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,32,9,0.1402,"TRUE",20.87783956,-0.12864077,0.00029887,420.2487,0.14,2.5062,0.0196,0.0316,418.2582,"linear","linear","gaussian",1.9905,2,"1987_Belleville_NCKEF","2","all_exactloc"
1988,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,25,17,0.644,"TRUE",19.03326559,-0.16455331,0.000478,339.5157,0.6431,-9.0743,0.0673,0,337.5787,"linear","linear","gaussian",1.93699999999995,2,"1988_Belleville_NCKEF","2","all_exactloc"
1989,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,31,9,0.1927,"TRUE",102.21229273,-0.80890465,0.00172113,435.3346,0.191,-2.0665,0.0384,0.0111,433.3993,"linear","linear","gaussian",1.93530000000004,2,"1989_Belleville_NCKEF","2","all_exactloc"
1991,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,11,10,0.2239,"TRUE",844.93349301,-7.23894172,0.01562072,150.3534,0.0866,-1.8705,0.0356,0.3362,150.1454,"linear","exclude","gaussian",0.207999999999998,2,"1991_Belleville_NCKEF","3","all_exactloc"
1995,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,19,7,0.0902,"FALSE",-403.57468415,3.71748868,-0.00840346,258.4799,0.0027,6.8242,0.0032,0.8359,258.2241,"linear","gauss","gaussian",0.255799999999965,2,"1995_Belleville_NCKEF","3","all_exactloc"
1996,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,38,9,0.1617,"FALSE",-649.52952482,5.951513,-0.01347288,556.9971,0.0073,6.0773,0.0072,0.6241,561.4232,"gaussian","gauss","gaussian",-4.42609999999991,2,"1996_Belleville_NCKEF","3","all_exactloc"
1998,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,24,5,0.0074,"TRUE",72.6747256,-0.59132914,0.00134345,342.0045,0.0071,9.3679,-0.0081,0.6953,340.0118,"linear","exclude","gaussian",1.99270000000001,2,"1998_Belleville_NCKEF","3","all_exactloc"
1999,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,23,9,0.0059,"TRUE",71.10786523,-0.5805594,0.00133323,336.2872,0.002,8.346,-0.002,0.8394,334.3768,"linear","exclude","gaussian",1.91039999999998,2,"1999_Belleville_NCKEF","3","all_exactloc"
2000,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,22,6,0.1801,"TRUE",1319.03646553,-12.14049492,0.02809131,316.7065,0.0229,3.6965,0.0171,0.4891,318.5657,"gaussian","exclude","gaussian",-1.85919999999999,2,"2000_Belleville_NCKEF","4","all_exactloc"
2001,"Belleville_NCKEF","Belleville_NCKEF","KS",39.832,-97.8432,29,6,0.0919,"FALSE",-1013.20456216,9.47701367,-0.02201325,383.6423,0.0374,2.0256,0.0219,0.3225,383.3325,"linear","gauss","gaussian",0.309799999999996,2,"2001_Belleville_NCKEF","4","all_exactloc"
1982,"Brookings","Brookings","SD",44.3693,-96.7878,58,12,0.1196,"FALSE",-214.88021336,1.98552852,-0.00442948,756.4294,0.0162,8.9632,-0.006,0.3562,760.8673,"gaussian","gauss","gaussian",-4.43790000000001,2,"1982_Brookings","2","all_exactloc"
1983,"Brookings","Brookings","SD",44.3693,-96.7878,49,6,0.1097,"FALSE",-970.69938544,8.94117968,-0.02044876,673.102,0.0961,22.8265,-0.0737,0.0378,671.8444,"linear","gauss","gaussian",1.25760000000002,2,"1983_Brookings","2","all_exactloc"
1984,"Brookings","Brookings","SD",44.3693,-96.7878,46,14,0.0301,"FALSE",-238.21777854,2.03681246,-0.00423205,631.0603,0.0028,8.2193,-0.0057,0.736,630.3358,"linear","gauss","gaussian",0.724500000000035,2,"1984_Brookings","2","all_exactloc"
1985,"Brookings","Brookings","SD",44.3693,-96.7878,42,11,0.0858,"TRUE",87.30852596,-0.65331805,0.00133358,542.9256,0.0763,10.4661,-0.0131,0.0747,541.3616,"linear","exclude","gaussian",1.56400000000008,2,"1985_Brookings","2","all_exactloc"
1986,"Brookings","Brookings","SD",44.3693,-96.7878,35,13,0.3064,"FALSE",-404.0555972,3.49093231,-0.00741487,472.5467,0.2575,20.0419,-0.0559,0.0052,472.9288,"gaussian","gauss","gaussian",-0.382100000000037,2,"1986_Brookings","2","all_exactloc"
1988,"Brookings","Brookings","SD",44.3693,-96.7878,33,9,0.0767,"FALSE",-18.33134539,0.26672096,-0.00069096,463.4464,0.0763,11.5518,-0.0207,0.1203,461.4593,"linear","gauss","gaussian",1.9871,2,"1988_Brookings","2","all_exactloc"
1993,"Brookings","Brookings","SD",44.3693,-96.7878,35,15,0.3831,"FALSE",-176.94169147,1.61116972,-0.00352595,457.4996,0.3337,-0.7426,0.0346,5e-04,458.1966,"gaussian","gauss","gaussian",-0.697000000000003,2,"1993_Brookings","3","all_exactloc"
1994,"Brookings","Brookings","SD",44.3693,-96.7878,29,9,0.0012,"FALSE",-10.70656021,0.17696421,-0.00042728,420.7712,0.001,8.0421,-0.0021,0.8709,418.7772,"linear","gauss","gaussian",1.99400000000003,2,"1994_Brookings","3","all_exactloc"
1997,"Brookings","Brookings","SD",44.3693,-96.7878,45,12,0.0668,"FALSE",-64.13665229,0.66460034,-0.0015347,641.6866,0.0536,5.3799,0.0113,0.1262,640.3193,"linear","gauss","gaussian",1.3673,2,"1997_Brookings","3","all_exactloc"
1998,"Brookings","Brookings","SD",44.3693,-96.7878,53,10,0.151,"FALSE",-323.11978077,3.0676498,-0.00711141,752.9169,0.0857,3.6597,0.0187,0.0373,754.8482,"gaussian","gauss","gaussian",-1.93129999999996,2,"1998_Brookings","3","all_exactloc"
1997,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,99,12,0.052,"FALSE",-141.22483293,1.40198817,-0.00329812,1350.3712,0.009,8.6029,-0.004,0.3565,1352.7628,"gaussian","gauss","gaussian",-2.39159999999993,2,"1997_Carrington_REC","3","all_exactloc"
1998,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,109,11,0.0468,"FALSE",-94.25788331,0.94011786,-0.0021659,1460.9956,0.023,9.0059,-0.0058,0.1182,1461.6836,"gaussian","gauss","gaussian",-0.688000000000102,2,"1998_Carrington_REC","3","all_exactloc"
1999,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,110,18,0.0525,"FALSE",-58.83419752,0.60389526,-0.0013675,1498.6627,0.0092,7.1973,0.0028,0.3265,1501.5748,"gaussian","gauss","gaussian",-2.91210000000001,2,"1999_Carrington_REC","3","all_exactloc"
2000,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,90,12,0.0786,"FALSE",-197.74657945,1.83437978,-0.00409457,1221.4071,0.0012,8.019,-0.0015,0.7545,1226.6714,"gaussian","gauss","gaussian",-5.26430000000005,2,"2000_Carrington_REC","4","all_exactloc"
2001,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,103,14,0.3293,"FALSE",-43.1197351,0.41932834,-0.0008587,1474.9886,0.3277,-0.7665,0.0379,0,1473.2448,"linear","gauss","gaussian",1.74379999999996,2,"2001_Carrington_REC","4","all_exactloc"
2002,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,103,11,0.0449,"TRUE",108.01748649,-0.90468768,0.00203825,1457.9623,0.0368,10.1769,-0.0115,0.0503,1456.829,"linear","exclude","gaussian",1.13329999999996,2,"2002_Carrington_REC","4","all_exactloc"
2003,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,71,9,0.0084,"TRUE",129.78657233,-1.10775893,0.00251148,985.2853,2e-04,7.8514,-9e-04,0.8989,983.8698,"linear","exclude","gaussian",1.41549999999995,2,"2003_Carrington_REC","4","all_exactloc"
2004,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,80,14,0.1353,"FALSE",-44.55480846,0.47567391,-0.00108735,1090.5925,0.1283,11.2926,-0.0172,0.0012,1089.2335,"linear","gauss","gaussian",1.35899999999992,2,"2004_Carrington_REC","4","all_exactloc"
2005,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,105,10,6e-04,"FALSE",-2.06957371,0.08881402,-0.00020257,1486.8258,5e-04,7.351,0.0014,0.8184,1484.8316,"linear","gauss","gaussian",1.99420000000009,2,"2005_Carrington_REC","4","all_exactloc"
2006,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,107,13,0.064,"FALSE",-94.91234847,0.97572177,-0.00231724,1538.1962,0.043,5.4543,0.0111,0.0346,1538.5678,"gaussian","gauss","gaussian",-0.371599999999944,2,"2006_Carrington_REC","4","all_exactloc"
2009,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,73,9,0.0952,"FALSE",-1018.25479074,9.08933548,-0.02014213,1063.261,0.0364,14.0318,-0.0307,0.1257,1065.8554,"gaussian","gauss","gaussian",-2.59439999999995,2,"2009_Carrington_REC","4","all_exactloc"
2010,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,76,9,0.1738,"FALSE",-1259.93702799,11.99625492,-0.02839546,1091.6056,0.0855,17.58,-0.05,0.015,1097.3235,"gaussian","gauss","gaussian",-5.71789999999987,2,"2010_Carrington_REC","5","all_exactloc"
2012,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,56,13,0.122,"FALSE",-54.00764709,0.57246137,-0.00132706,794.2213,0.116,11.789,-0.0186,0.0099,792.6064,"linear","gauss","gaussian",1.61490000000003,2,"2012_Carrington_REC","5","all_exactloc"
2013,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,46,10,0.0396,"FALSE",-48.50635902,0.48180713,-0.00103746,625.8539,0.0382,4.2892,0.0137,0.1986,623.9198,"linear","gauss","gaussian",1.93409999999994,2,"2013_Carrington_REC","5","all_exactloc"
2014,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,35,10,0.0274,"FALSE",-138.89876991,1.31198565,-0.00293562,488.5508,0.0074,8.6329,-0.0043,0.6245,487.2631,"linear","gauss","gaussian",1.28769999999997,2,"2014_Carrington_REC","5","all_exactloc"
