"","named_location","county_state","Location","Year","State","lat","lon"
"1","Akron_CPER","Washington_CO","Akron","1996","CO",40.1526,-103.1357
"32","Akron_CPER","Washington_CO","Akron","1997","CO",40.1526,-103.1357
"63","Bardwell_Beakley","Ellis_TX","Ellis","2010","TX",32.269,-96.6961
"76","Bardwell_Beakley","Ellis_TX","Ellis","2011","TX",32.269,-96.6961
"87","Belleville_NCKEF","Republic_KS","RPDO","1987","KS",39.832,-97.8432
"119","Belleville_NCKEF","Republic_KS","RPDO","1988","KS",39.832,-97.8432
"144","Belleville_NCKEF","Republic_KS","RPDO","1989","KS",39.832,-97.8432
"175","Belleville_NCKEF","Republic_KS","RPDO","1991","KS",39.832,-97.8432
"186","Belleville_NCKEF","Republic_KS","RPDO","1995","KS",39.832,-97.8432
"205","Belleville_NCKEF","Republic_KS","RPDO","1996","KS",39.832,-97.8432
"243","Belleville_NCKEF","Republic_KS","RPDO","1998","KS",39.832,-97.8432
"267","Belleville_NCKEF","Republic_KS","RPDO","1999","KS",39.832,-97.8432
"290","Belleville_NCKEF","Republic_KS","RPDO","2000","KS",39.832,-97.8432
"312","Belleville_NCKEF","Republic_KS","RPDO","2001","KS",39.832,-97.8432
"341","Brookings","Brookings_SD","Brookings","1982","SD",44.3693,-96.7878
"399","Brookings","Brookings_SD","Brookings","1983","SD",44.3693,-96.7878
"448","Brookings","Brookings_SD","Brookings","1984","SD",44.3693,-96.7878
"494","Brookings","Brookings_SD","Brookings","1985","SD",44.3693,-96.7878
"536","Brookings","Brookings_SD","Brookings","1986","SD",44.3693,-96.7878
"571","Brookings","Brookings_SD","Brookings","1988","SD",44.3693,-96.7878
"604","Brookings","Brookings_SD","Brookings","1993","SD",44.3693,-96.7878
"639","Brookings","Brookings_SD","Brookings","1994","SD",44.3693,-96.7878
"668","Brookings","Brookings_SD","Brookings","1997","SD",44.3693,-96.7878
"688","Brookings","Brookings_SD","Brookings-NuSun","1997","SD",44.3693,-96.7878
"713","Brookings","Brookings_SD","Brookings","1998","SD",44.3693,-96.7878
"733","Brookings","Brookings_SD","Brookings-NuSun","1998","SD",44.3693,-96.7878
"766","Carrington_REC","Foster_ND","Carrington","1997","ND",47.5156,-99.1215
"865","Carrington_REC","Foster_ND","Carrington","1998","ND",47.5156,-99.1215
"974","Carrington_REC","Foster_ND","Carrington","1999","ND",47.5156,-99.1215
"1084","Carrington_REC","Foster_ND","Carrington","2000","ND",47.5156,-99.1215
"1174","Carrington_REC","Foster_ND","Carrington","2001","ND",47.5156,-99.1215
"1226","Carrington_REC","Foster_ND","Carrington_NuSun","2001","ND",47.5156,-99.1215
"1277","Carrington_REC","Foster_ND","Carrington","2002","ND",47.5156,-99.1215
"1315","Carrington_REC","Foster_ND","Carrington_NuSun","2002","ND",47.5156,-99.1215
"1380","Carrington_REC","Foster_ND","Carrington","2003","ND",47.5156,-99.1215
"1451","Carrington_REC","Foster_ND","Carrington","2004","ND",47.5156,-99.1215
"1531","Carrington_REC","Foster_ND","Carrington","2005","ND",47.5156,-99.1215
"1636","Carrington_REC","Foster_ND","Carrington","2006","ND",47.5156,-99.1215
"1743","Carrington_REC","Foster_ND","Carrington","2009","ND",47.5156,-99.1215
"1816","Carrington_REC","Foster_ND","Carrington","2010","ND",47.5156,-99.1215
"1892","Carrington_REC","Foster_ND","Carrington","2012","ND",47.5156,-99.1215
"1948","Carrington_REC","Foster_ND","Carrington","2013","ND",47.5156,-99.1215
"1994","Carrington_REC","Foster_ND","Carrington","2014","ND",47.5156,-99.1215
