"group","named_location","location","county_state","Year","latitude","longitude","planting_doy","mu","sd","y2","y3","cens","y_na","outside_data","mod_for_cens","opt_relation_to_data","GDD_mod_sitemean","GDD_anomaly","GDD_fixed_sitemean","GDD_fixed_anomaly","tot_precip_sitemean","precip_anomaly","frost_sitemean","frost_anomaly","GDD_future_sitemean","GDD_future_anomaly","GDD_mod_sitemean_sc","GDD_anomaly_sc","GDD_fixed_sitemean_sc","GDD_fixed_anomaly_sc","tot_precip_sitemean_sc","precip_anomaly_sc","frost_sitemean_sc","frost_anomaly_sc","GDD_future_sitemean_sc","GDD_future_anomaly_sc"
"Akron_CPER","Akron_CPER","Akron","Washington_CO",1997,40.1526,-103.1357,167,231.368124093065,6.4369307758389,230.756364919706,232.078189344795,"interval",231.368124093065,"in_range","gauss","opt_within",935.172840909091,-8.21784090909091,1480.50852272727,8.34647727272727,78.7461363636364,31.8138636363636,294.522727272727,3.47727272727275,1045.10220253409,105.236149590909,0.473859680425083,-0.118717192776947,0.114923477191918,0.1786391786747,-1.10018486467117,0.643435417593318,0.349288386767202,0.212289109033428,0.353147747281228,-0.443498259998385
"Belleville_NCKEF","Belleville_NCKEF","RPDO","Republic_KS",1987,39.832,-97.8432,191,215.215604498615,NA,252,274,"interval",NA,"less_than","linear","opt_after",1075.65556818182,-28.275568181818,1762.25625,55.8837500000002,152.87,-82.61,308.318181818182,-14.3181818181818,1183.6303615,88.809522318182,1.69717353714901,-0.451501017870357,1.77351922586324,0.799992385652496,1.8647823843893,-1.62132373124785,1.76686893058622,-1.3145830639893,1.73766219758004,-0.748047128003765
"Belleville_NCKEF","Belleville_NCKEF","RPDO","Republic_KS",1988,39.832,-97.8432,190,172.1274748599,NA,248,264,"interval",NA,"less_than","linear","opt_after",1075.65556818182,-16.6905681818182,1762.25625,71.04375,152.87,-80.82,308.318181818182,-6.31818181818181,1183.6303615,93.4212223181819,1.69717353714901,-0.259290775838139,1.77351922586324,0.998146677587276,1.8647823843893,-1.58589476785164,1.76686893058622,-0.628173096040383,1.73766219758004,-0.662546435057974
"Belleville_NCKEF","Belleville_NCKEF","RPDO","Republic_KS",1989,39.832,-97.8432,191,234.991907371758,NA,250,270,"interval",NA,"less_than","linear","opt_after",1075.65556818182,-61.6355681818181,1762.25625,-2.94624999999996,152.87,73.34,308.318181818182,-16.3181818181818,1183.6303615,58.093922318182,1.69717353714901,-1.00498687667009,1.77351922586324,0.0310334810005658,1.8647823843893,1.4653504819583,1.76686893058622,-1.48618555597652,1.73766219758004,-1.31751285306085
"Belleville_NCKEF","Belleville_NCKEF","RPDO","Republic_KS",1995,39.832,-97.8432,164,221.18807302679,7.71356419494635,220.0722603753,222.470987141251,"interval",221.18807302679,"in_range","gauss","opt_within",1075.65556818182,20.6444318181818,1762.25625,-60.1212499999999,152.87,-8.56999999999999,308.318181818182,-2.31818181818181,1183.6303615,130.450122318182,1.69717353714901,0.360145511280807,1.77351922586324,-0.716293144419696,1.8647823843893,-0.155870965965497,1.76686893058622,-0.284968112065927,1.73766219758004,0.0239675639056226
"Belleville_NCKEF","Belleville_NCKEF","RPDO","Republic_KS",1996,39.832,-97.8432,162,220.870157335446,6.09192972889251,220.462770425486,221.355735429829,"interval",220.870157335446,"in_range","gauss","opt_within",1075.65556818182,9.02943181818182,1762.25625,-29.40625,152.87,-0.740000000000009,308.318181818182,-1.31818181818181,1183.6303615,119.121222318182,1.69717353714901,0.167437530166931,1.77351922586324,-0.314821569434417,1.8647823843893,-0.000893992003302979,1.76686893058622,-0.199166866072313,1.73766219758004,-0.186069689236077
"Belleville_NCKEF","Belleville_NCKEF","RPDO","Republic_KS",2001,39.832,-97.8432,162,215.256997923541,4.76598745968936,214.557958563129,216.183246768095,"interval",215.256997923541,"in_range","gauss","opt_within",1075.65556818182,56.1894318181819,1762.25625,50.2637500000001,152.87,55.63,308.318181818182,22.6818181818182,1183.6303615,162.491222318182,1.69717353714901,0.949883366527705,1.77351922586324,0.726534132309917,1.8647823843893,1.11482146422261,1.76686893058622,1.86006303777442,1.73766219758004,0.618007994277371
"Brookings","Brookings","Brookings","Brookings_SD",1982,44.3693,-96.7878,154,224.126576757347,10.624505206795,222.677753938417,225.192350947821,"interval",224.126576757347,"in_range","gauss","opt_within",921.705568181818,-43.9555681818182,1490.78113636364,-61.9511363636364,137.848863636364,-11.6488636363636,292.431818181818,0.568181818181813,1051.31157893182,97.6166223181818,0.356587602502153,-0.711652644548412,0.175396416831722,-0.740211339453171,1.26393435546918,-0.216810042543514,0.134432686550813,-0.0373145156752698,0.415207125058083,-0.584763923796451
"Brookings","Brookings","Brookings","Brookings_SD",1983,44.3693,-96.7878,152,218.624029157137,4.94483194013014,216.759760547149,219.859526114851,"interval",218.624029157137,"in_range","gauss","opt_within",921.705568181818,35.6494318181818,1490.78113636364,50.9088636363638,137.848863636364,-25.9588636363636,292.431818181818,-5.43181818181819,1051.31157893182,164.826216818182,0.356587602502153,0.609098008621634,0.175396416831722,0.734966324647062,1.26393435546918,-0.500043822543386,0.134432686550813,-0.552121991636954,0.415207125058083,0.661298678357992
"Brookings","Brookings","Brookings","Brookings_SD",1984,44.3693,-96.7878,179,240.641504376186,10.8695044697917,238.033661429271,242.650741817385,"interval",240.641504376186,"in_range","gauss","opt_within",921.705568181818,31.0394318181818,1490.78113636364,-8.90113636363617,137.848863636364,-60.3188636363636,292.431818181818,-22.4318181818182,1051.31157893182,148.921316818182,0.356587602502153,0.532612103074068,0.175396416831722,-0.0468020263172721,1.26393435546918,-1.18012157801478,0.134432686550813,-2.01074317352839,0.415207125058083,0.366422608528316
"Brookings","Brookings","Brookings","Brookings_SD",1986,44.3693,-96.7878,171,235.400837423713,8.21166869995179,230.861061869096,237.537579847965,"interval",235.400837423713,"in_range","gauss","opt_within",921.705568181818,10.6044318181818,1490.78113636364,-5.56613636363636,137.848863636364,112.121136363636,292.431818181818,-6.43181818181819,1051.31157893182,133.856722318182,0.356587602502153,0.193568831953788,0.175396416831722,-0.00321069626433935,1.26393435546918,2.2329345382101,0.134432686550813,-0.637923237630568,0.415207125058083,0.0871257616611413
"Brookings","Brookings","Brookings","Brookings_SD",1988,44.3693,-96.7878,147,193.007962799068,26.8996957586082,187,207.209731556135,"interval",193.007962799068,"less_than","gauss","opt_before",921.705568181818,91.9594318181818,1490.78113636364,150.788863636364,137.848863636364,9.93113636363637,292.431818181818,-14.4318181818182,1051.31157893182,202.122322318182,0.356587602502153,1.54335426488701,0.175396416831722,2.04048417942582,1.26393435546918,0.210316789909123,0.134432686550813,-1.32433320557948,0.415207125058083,1.35276665425177
"Brookings","Brookings","Brookings","Brookings_SD",1993,44.3693,-96.7878,146,228.473217009167,11.9082241896708,225.491402162694,234.756476297776,"interval",228.473217009167,"in_range","gauss","opt_within",921.705568181818,-130.915568181818,1490.78113636364,-122.846136363636,137.848863636364,-20.5288636363636,292.431818181818,-10.4318181818182,1051.31157893182,36.8505168181819,0.356587602502153,-2.1544323292374,0.175396416831722,-1.53616157740624,1.26393435546918,-0.392569369335887,0.134432686550813,-0.981128221605024,0.415207125058083,-1.7113645543377
"Brookings","Brookings","Brookings","Brookings_SD",1994,44.3693,-96.7878,139,207.080044789194,34.2078996243361,207.071556073947,210.914746858159,"interval",207.080044789194,"in_range","gauss","opt_within",921.705568181818,-42.8905681818181,1490.78113636364,-25.7761363636362,137.848863636364,-49.9988636363636,292.431818181818,6.56818181818181,1051.31157893182,98.0050223181818,0.356587602502153,-0.693982907149679,0.175396416831722,-0.267372849298766,1.26393435546918,-0.975860738769586,0.134432686550813,0.477492960286414,0.415207125058083,-0.577563006750645
"Brookings","Brookings","Brookings","Brookings_SD",1997,44.3693,-96.7878,140,216.524924588596,18.049850939624,214.032368108405,221.216038865451,"interval",216.524924588596,"in_range","gauss","opt_within",921.705568181818,-49.3505681818182,1490.78113636364,-36.9111363636364,137.848863636364,-2.42886363636364,292.431818181818,1.56818181818181,1051.31157893182,84.4569113181818,0.356587602502153,-0.801162722732601,0.175396416831722,-0.412916915307595,1.26393435546918,-0.0343211919775589,0.134432686550813,0.0484867303183442,0.415207125058083,-0.828744323533284
"Brookings","Brookings","Brookings","Brookings_SD",1998,44.3693,-96.7878,143.2,215.6851430426,8.38508029290876,215.098608173186,216.711333638544,"interval",215.6851430426,"in_range","gauss","opt_within",921.705568181818,-71.5155681818181,1490.78113636364,45.9388636363637,137.848863636364,19.8611363636364,292.431818181818,15.5681818181818,1051.31157893182,67.1727223181819,0.356587602502153,-1.16890894756162,0.175396416831722,0.670004132634142,1.26393435546918,0.406858469531676,0.134432686550813,1.24970417422894,0.415207125058083,-1.14919234411269
"Carrington_REC","Carrington_REC","Carrington","Foster_ND",1982,47.5156,-99.1215,145,228.199490314794,36.3350161984987,216.49495571044,252,"interval",228.199490314794,"greater_than","gauss","opt_after",845.150454545455,-89.8304545454545,1380.51386363636,-140.773863636364,95.2875,-20.7675,287.045454545455,6.95454545454544,984.014078306818,58.4390304545454,-0.310049023455633,-1.47277677153634,-0.473726227504649,-1.7704924549608,-0.438527484300108,-0.397292631342746,-0.419054280310978,0.510643441693037,-0.25739520200551,-1.31111456505419
"Carrington_REC","Carrington_REC","Carrington","Foster_ND",1993,47.5156,-99.1215,146,227.943340147131,11.4232133736845,226.779577361833,228.722518260733,"interval",227.943340147131,"in_range","gauss","opt_within",845.150454545455,-182.300454545454,1380.51386363636,-178.788863636364,95.2875,-1.5175,287.045454545455,-12.0454545454546,984.014078306818,2.82461945454543,-0.310049023455633,-3.00697453422253,-0.473726227504649,-2.26738133410993,-0.438527484300108,-0.016282829456126,-0.419054280310978,-1.11958023218563,-0.25739520200551,-2.34220303097176
"Carrington_REC","Carrington_REC","Carrington","Foster_ND",1994,47.5156,-99.1215,145,217.801050052406,14.5943088964616,216.31152138543,221.009140116542,"interval",217.801050052406,"in_range","gauss","opt_within",845.150454545455,-23.5904545454546,1380.51386363636,-1.87886363636358,95.2875,-70.0275,287.045454545455,10.9545454545454,984.014078306818,130.761235954545,-0.310049023455633,-0.37376887924335,-0.473726227504649,0.0449851425511733,-0.438527484300108,-1.37228186983287,-0.419054280310978,0.853848425667493,-0.25739520200551,0.0297355955412378
"Carrington_REC","Carrington_REC","Carrington","Foster_ND",1997,47.5156,-99.1215,149,212.543283413554,12.3126478353202,211.467767427773,213.35175388696,"interval",212.543283413554,"in_range","gauss","opt_within",845.150454545455,65.5145454545454,1380.51386363636,25.1761363636365,95.2875,-27.9275,287.045454545455,6.95454545454544,984.014078306818,189.427935954546,-0.310049023455633,1.10459914978393,-0.473726227504649,0.398617356818689,-0.438527484300108,-0.539008484927588,-0.419054280310978,0.510643441693037,-0.25739520200551,1.11741335056495
"Carrington_REC","Carrington_REC","Carrington","Foster_ND",1998,47.5156,-99.1215,146,217.026813524293,15.193771919924,214.953679886184,218.237838220928,"interval",217.026813524293,"in_range","gauss","opt_within",845.150454545455,-23.7954545454545,1380.51386363636,59.9361363636365,95.2875,-68.0275,287.045454545455,19.9545454545454,984.014078306818,115.471402954546,-0.310049023455633,-0.377170096301321,-0.473726227504649,0.852960575001607,-0.438527484300108,-1.33269643587063,-0.419054280310978,1.62605963961002,-0.25739520200551,-0.25373716212414
"Carrington_REC","Carrington_REC","Carrington","Foster_ND",1999,47.5156,-99.1215,152,220.802416844418,19.1214547443407,219.493304908376,222.630390280808,"interval",220.802416844418,"in_range","gauss","opt_within",845.150454545455,16.1445454545454,1380.51386363636,-28.4038636363637,95.2875,52.4925,287.045454545455,-13.0454545454546,984.014078306818,161.752835954546,-0.310049023455633,0.28548653440795,-0.473726227504649,-0.301719514016776,-0.438527484300108,1.05272181469433,-0.419054280310978,-1.20538147817924,-0.25739520200551,0.604318347129328
"Carrington_REC","Carrington_REC","Carrington","Foster_ND",2000,47.5156,-99.1215,154,224.001304547362,11.0504676467113,223.116362735529,224.757933294747,"interval",224.001304547362,"in_range","gauss","opt_within",845.150454545455,4.8195454545455,1380.51386363636,-39.3838636363635,95.2875,27.0425,287.045454545455,-9.04545454545456,984.014078306818,145.255035954546,-0.310049023455633,0.0975900310834017,-0.473726227504649,-0.445237596170066,-0.438527484300108,0.548997167524751,-0.419054280310978,-0.862176494204787,-0.25739520200551,0.29844994023359
"Carrington_REC","Carrington_REC","Carrington","Foster_ND",2001,47.5156,-99.1215,151,244.164055496376,24.1296109395483,229.028294313603,253,"interval",244.164055496376,"greater_than","gauss","opt_after",845.150454545455,29.0395454545455,1380.51386363636,49.7311363636363,95.2875,85.3325,287.045454545455,-9.04545454545456,984.014078306818,173.345035954545,-0.310049023455633,0.49943138300575,-0.473726227504649,0.719572412125981,-0.438527484300108,1.70271464035442,-0.419054280310978,-0.862176494204787,-0.25739520200551,0.819237169421801
"Carrington_REC","Carrington_REC","Carrington","Foster_ND",2004,47.5156,-99.1215,147,218.72992547065,21.444175817752,187,224.314899864739,"interval",218.72992547065,"less_than","gauss","opt_before",845.150454545455,-115.180454545454,1380.51386363636,-244.418863636364,95.2875,-30.8975,287.045454545455,-9.04545454545456,984.014078306818,53.0126359545454,-0.310049023455633,-1.89336629553434,-0.473726227504649,-3.12522211113366,-0.438527484300108,-0.597792854361524,-0.419054280310978,-0.862176494204787,-0.25739520200551,-1.41171965427232
