"","county_state","mu","sd","fp","fst","N","h","badfit","ofs","outside_data","mu_025","mu_975","mu_16","mu_84","AIC_gau","AIC_lm","mod_for_cens","beta1_lm","y2","y3","opt_relation_to_data","cens","y_na","named_location","location","State","latitude","longitude","Year","planting_doy","harvest_doy","min_flow_50_doy","max_flow_50_doy"
"1","Adams_ND",204.478908261863,6.2769551011726,16.0884832735218,196.434666625102,32629.0195477323,2073.7913934104,FALSE,49.0635778994808,"in_range",201.545091236755,207.517665030486,203.73299336415,205.219385532443,441.8143,442.0153,"gauss",6e-04,203.73299336415,205.219385532443,"opt_within","interval",204.478908261863,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"1986",136,296.100313479624,201,208
"2","Adams_ND",214.851180309385,14.3675309091753,36.8254634593281,196.438448579721,73809.7662685308,2049.47089776292,FALSE,112.216482904831,"in_range",209.641720866167,234.077693655561,211.906816045487,215.625814233112,540.3673,538.4999,"gauss",0.0136,211.906816045487,215.625814233112,"opt_within","interval",214.851180309385,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"2002",133,282,209,215
"3","Adams_ND",215.535581544724,8.32632482762541,21.3412292361525,204.864966926647,49508.053654204,2372.09768198276,FALSE,65.6525509473183,"in_range",213.978441265473,219.270966855739,214.925283883846,216.337665784405,653.296,654.8647,"gauss",0.0064,214.925283883846,216.337665784405,"opt_within","interval",215.535581544724,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"2003",135,290,211,219
"4","Adams_ND",211.17677565869,8.43372715093317,21.6165124673088,200.368519425036,12068.7293521424,570.889515765122,FALSE,60.0973724580318,"in_range",205.399831990859,231.752113219667,208.857140585557,213.521400211862,848.0805,847.9393,"gauss",0.0292,208.857140585557,213.521400211862,"opt_within","interval",211.17677565869,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"2005",125,292,205,215
"5","Adams_ND",228.393481684879,7.11276847530208,18.2307591497594,219.278102109999,37880.8489070723,2124.66809499052,FALSE,55.6848314143067,"in_range",226.435184820376,231.86228464887,227.693146185401,229.200958457337,617.8101,618.1336,"gauss",0.0078,227.693146185401,229.200958457337,"opt_within","interval",228.393481684879,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"2009",147,313,223,232
"6","Adams_ND",232.618176854848,NA,NA,NA,NA,1626.6553917813,TRUE,0,"in_range",NA,NA,NA,NA,676.5426,674.639,"exclude",-0.0061,NA,NA,"unclear","interval",NA,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"2011",157,252,223,235
"7","Adams_ND",214.58970979521,8.00846408037894,20.5265193596347,204.326450115393,38947.2631293337,1940.16103615661,FALSE,62.3242786391088,"in_range",212.593050863062,235.650672358218,213.274176202713,217.120522301619,487.3379,486.2772,"gauss",0.0315,213.274176202713,217.120522301619,"opt_within","interval",214.58970979521,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"2013",135,299,209,216
"8","Adams_ND",227.744201263813,16.4120345895303,42.0657372439694,206.711332641828,64725.1290633352,1573.33269357572,FALSE,125.943103721584,"greater_than",216.13823984531,290.128104268559,217.655039775574,229.755475356517,491.9949,490.095,"gauss",0.0432,217.655039775574,275,"opt_after","interval",227.744201263813,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"2014",142,310,210,221
"9","Adams_ND",257.259183139389,14.7280845821709,37.749599707509,238.384383285634,164179.591036745,4447.16216003147,FALSE,120.734520259241,"greater_than",245.665786896021,430.578876168674,247.412775326305,271.672501714791,710.1954,708.3718,"gauss",0.0688,247.412775326305,258,"opt_after","interval",257.259183139389,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"2015",139,293,236,246
"10","Adams_ND",214.609402463124,10.4196705096674,26.7066901082462,201.256057409001,69166.3152502818,2648.19962467246,FALSE,82.7384055008335,"in_range",211.500507553547,250.867989098619,212.401992022242,219.472202452563,474.849,474.5778,"gauss",0.0366,212.401992022242,219.472202452563,"opt_within","interval",214.609402463124,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,"2016",138,300,205,215
