"","location","year","latitude","longitude","n","planting_doy_combined","harvest_doy_combined","flower_doy_combined","county_state","State","CUM_GDD_70","GDD_modave","GDD_future","GDD_fixed","tot_precip","frost_day"
"1","Akron","1980",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1182.5,946.985,1034.64155,1459.23,65.7,298
"2","Akron","1981",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1076.295,912.975,1007.03875,1424.44,36.01,296
"3","Akron","1982",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1081.55,915.87,1012.07375,1407.455,97.04,293
"4","Akron","1983",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1152.54,943.105,1034.11265,1418.41,35.56,263
"5","Akron","1984",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1123.29,941.715,1027.8585,1503.26,104.09,291
"6","Akron","1985",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1066.41,893.885,983.15905,1465.145,75.92,272
"7","Akron","1986",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1129.62,930.37,1017.25155,1435.72,53.44,285
"8","Akron","1987",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1055.31,883.79,982.2429,1455.215,70.56,284
"9","Akron","1988",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1174.04,948.25,1035.71155,1508.97,59.49,302
"10","Akron","1989",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1073.475,913.61,1009.57265,1456.97,109.8,292
"11","Akron","1990",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1053.24,894.85,992.1307,1456.855,111.87,282
"12","Akron","1991",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1089.155,916.885,1011.9018,1526.68,46.72,301
"13","Akron","1992",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",965.95,868.505,971.67985,1381.685,120.72,282
"14","Akron","1993",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1013.76,882.385,976.17265,1374.22,58.22,282
"15","Akron","1994",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1135.385,931.49,1018.97655,1561.325,48.54,308
"16","Akron","1995",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1095.26,900.305,997.8618,1354.225,40.71,293
"17","Akron","1996",40.1526,-103.1357,365,163,282,232.064516129032,"Washington_CO","CO",1088.985,939.545,1032.6582,1472.375,154.08,292
"18","Akron","1997",40.1526,-103.1357,365,167,284,231.548387096774,"Washington_CO","CO",1099.785,926.955,1022.67125,1488.855,110.56,298
"19","Akron","1998",40.1526,-103.1357,365,163,287,231.390243902439,"Washington_CO","CO",1097.11,937.345,1032.4332,1493.645,56.47,314
"20","Akron","1999",40.1526,-103.1357,365,175,293,231.390243902439,"Washington_CO","CO",1155.025,969.285,1063.08125,1492.1,163.74,290
"21","Akron","2000",40.1526,-103.1357,365,176,292,231.390243902439,"Washington_CO","CO",1208.75,966.345,1058.9982,1534.935,68.84,282
"22","Akron","2001",40.1526,-103.1357,365,169,304,230.1,"Washington_CO","CO",1221.155,985.195,1074.5671,1536.135,107.69,298
"23","Akron","2002",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1220.81,966.715,1052.8285,1548.855,119.67,296
"24","Akron","2003",40.1526,-103.1357,365,176,301,231.390243902439,"Washington_CO","CO",1220.395,968.12,1060.1932,1495.735,54.61,304
"25","Akron","2004",40.1526,-103.1357,365,188,350,231.390243902439,"Washington_CO","CO",1008.035,862.675,965.3454,1393.885,91.65,306
"26","Akron","2005",40.1526,-103.1357,365,171,325,231.390243902439,"Washington_CO","CO",1188.59,955.31,1047.8732,1489.52,91.29,317
"27","Akron","2006",40.1526,-103.1357,365,165,300,231.390243902439,"Washington_CO","CO",1205.49,996.245,1088.34405,1583.15,84.66,292
"28","Akron","2007",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1219.25,1002.575,1090.34155,1581.665,74.07,295
"29","Akron","2008",40.1526,-103.1357,365,169,322,231.390243902439,"Washington_CO","CO",1149.55,952.88,1047.8682,1460.04,183.51,298
"30","Akron","2009",40.1526,-103.1357,365,170,300,231.390243902439,"Washington_CO","CO",1061.98,921.515,1016.1882,1434.73,36.27,282
"31","Akron","2010",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1145.6,953.475,1043.17155,1477.86,51.61,301
"32","Akron","2011",40.1526,-103.1357,365,158,308,231.390243902439,"Washington_CO","CO",1141.72,945.775,1040.1182,1483.89,40.52,300
"33","Akron","2012",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1262.855,972.56,1060.5935,1573.36,41.62,281
"34","Akron","2013",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1116.105,940.07,1031.18765,1527.765,130.07,289
"35","Akron","2014",40.1526,-103.1357,365,163,297,231.390243902439,"Washington_CO","CO",1091.7,925.69,1019.41625,1458.39,138.03,305
"36","Akron","2015",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1118.125,932.42,1024.82765,1445.33,64.34,311
"37","Akron","2016",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1132.83,934.155,1025.13655,1476.15,63.04,323
"38","Akron","2017",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1117.435,922.465,1017.98875,1478.34,60.92,300
"39","Akron","2018",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1082.615,915.215,1010.2707,1532.975,19.05,287
"40","Akron","2019",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1123.305,926.3,1017.9857,1418.11,88.08,283
"41","Akron","2020",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1198.105,951.42,1039.8885,1519.865,74.46,290
"42","Akron","2021",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1143.77,937.195,1026.6335,1504.615,34.29,313
"43","Akron","2022",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1214.97,974.695,1061.4935,1549.24,42.07,301
"44","Akron","2023",40.1526,-103.1357,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1101.205,940.49,1035.3057,1501.055,85.23,287
"45","Akron","1980",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1169.59,941.21,1029.14655,1444.44,55.34,298
"46","Akron","1981",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1062.89,904.945,999.54375,1408.11,35.23,296
"47","Akron","1982",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1068.005,908.72,1005.8418,1392.045,95.48,293
"48","Akron","1983",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1137.88,935.425,1026.80265,1402.205,36.61,263
"49","Akron","1984",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1107.535,933.36,1019.6185,1487.65,108.7,291
"50","Akron","1985",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1055.375,886.08,975.72405,1450.49,78.37,272
"51","Akron","1986",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1116.65,922.05,1009.04155,1419.285,60.59,285
"52","Akron","1987",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1041.33,876.01,975.0479,1437.805,84.68,283
"53","Akron","1988",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1159.115,941.265,1028.89155,1495.185,60.86,302
"54","Akron","1989",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1061.095,905.745,1002.1707,1442.73,110.16,292
"55","Akron","1990",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1037.98,886.415,984.6557,1440.795,117.51,282
"56","Akron","1991",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1077.54,909.065,1004.3018,1510.17,46.82,301
"57","Akron","1992",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",953.005,859.615,964.0529,1366.49,118.64,282
"58","Akron","1993",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1001.48,873.23,967.40765,1357.575,62.46,282
"59","Akron","1994",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1123.355,924.055,1011.95655,1544.9,48.92,308
"60","Akron","1995",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1076.025,889.185,987.28985,1336.19,40.87,293
"61","Akron","1996",40.1605,-103.2144,365,163,282,232.064516129032,"Washington_CO","CO",1071.53,928.845,1022.3882,1454.35,158.42,292
"62","Akron","1997",40.1605,-103.2144,365,167,284,231.548387096774,"Washington_CO","CO",1083.975,917.385,1013.85125,1471.2,115.22,298
"63","Akron","1998",40.1605,-103.2144,365,163,287,231.390243902439,"Washington_CO","CO",1081.38,928.065,1023.3993,1478.56,59.07,314
"64","Akron","1999",40.1605,-103.2144,365,175,293,231.390243902439,"Washington_CO","CO",1140.365,961.545,1055.50625,1474.575,171.07,290
"65","Akron","2000",40.1605,-103.2144,365,176,292,231.390243902439,"Washington_CO","CO",1194.63,957.81,1050.8482,1518.75,67.6,282
"66","Akron","2001",40.1605,-103.2144,365,169,304,230.1,"Washington_CO","CO",1205.225,977.18,1066.9271,1520.945,108.05,298
"67","Akron","2002",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1206.205,959.07,1045.2185,1536.045,113.09,296
"68","Akron","2003",40.1605,-103.2144,365,176,301,231.390243902439,"Washington_CO","CO",1206.675,960.205,1052.4282,1479.15,63.19,299
"69","Akron","2004",40.1605,-103.2144,365,188,350,231.390243902439,"Washington_CO","CO",996.55,855.02,958.4804,1377.07,92.57,306
"70","Akron","2005",40.1605,-103.2144,365,171,325,231.390243902439,"Washington_CO","CO",1175.55,948.22,1041.1932,1473.21,83.11,317
"71","Akron","2006",40.1605,-103.2144,365,165,300,231.390243902439,"Washington_CO","CO",1191.425,987.65,1080.31015,1568.87,84.57,291
"72","Akron","2007",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1207.975,996.78,1084.55655,1568.365,75.9,295
"73","Akron","2008",40.1605,-103.2144,365,169,322,231.390243902439,"Washington_CO","CO",1136.025,944.53,1040.0932,1443.57,180.83,298
"74","Akron","2009",40.1605,-103.2144,365,170,300,231.390243902439,"Washington_CO","CO",1050.485,914.63,1009.8782,1421.005,46.66,282
"75","Akron","2010",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1134.335,946.48,1036.5896,1464.595,49.83,301
"76","Akron","2011",40.1605,-103.2144,365,158,308,231.390243902439,"Washington_CO","CO",1128.335,939.74,1034.7832,1471.635,46.23,299
"77","Akron","2012",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1251.29,968.09,1056.2235,1564.61,40.2,281
"78","Akron","2013",40.1605,-103.2144,365,168.790229885057,302.663793103448,231.390243902439,"Washington_CO","CO",1104.945,934.92,1026.49765,1517.1,136.18,289
"79","Akron","2014",40.1605,-103.2144,365,163,297,231.390243902439,"Washington_CO","CO",1081.065,921.2,1015.50625,1446.925,144.89,305
