fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
150,1869,53.3154,13.9339,56,Grünow Brandenburg,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
441,6109,53.3837,14.3728,51,Grambow-Schwennenz Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
467,7351,53.3176,13.4175,115,Feldberg/Mecklenburg Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
276,3478,53.5468,13.1914,81,Neubrandenburg Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
10,129,53.6893,13.242,30,Altentreptow Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
379,5009,53.761,12.5574,37,Teterow Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
216,2796,53.9156,12.279,40,Laage-Kronskamp Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
148,1803,54.0714,12.3238,35,Sanitz-Groß Lüsewitz Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
384,5097,54.0654,12.7655,10,Tribsees Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
144,1757,54.0967,13.4056,2,Greifswald Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
145,1758,54.1,13.45,2,Greifswald-Wieck Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
25,298,54.3405,12.7108,3,Barth Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
387,5109,53.5998,13.3039,68,Trollenhagen Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
422,5663,53.4618,13.6099,118,Woldegk Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
442,6110,53.8545,13.4949,11,Medow-Wussentin Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
448,6199,54.2484,13.0419,16,Steinhagen-Negast Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
495,19207,53.8178,12.0645,16,Gülzow-Prüzen Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
285,3552,52.9037,12.8071,38,Neuruppin Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
215,2794,52.9362,12.4093,40,Kyritz Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
8,96,52.9437,12.8518,50,Neuruppin-Alt Ruppin Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
256,3196,53.3221,11.9324,81,Marnitz Mecklenburg-Vorpommern,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
290,3577,53.3585,13.0502,64,Neustrelitz Mecklenburg-Vorpommern,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
419,5643,53.1864,12.4949,68,Wittstock-Rote Mühle Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
426,5745,52.9664,13.3268,51,Zehdenick Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
431,5825,52.6198,12.7867,41,Berge Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
461,7244,53.1424,13.0319,62,Neuglobsow (HM) Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
52,591,53.3911,10.6878,45,Boizenburg Mecklenburg-Vorpommern,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
231,2951,53.1007,11.4864,20,Lenzen/Elbe Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
404,5431,53.0333,11.8,24,Weisen bei Wittenberge Sachsen-Anhalt,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
142,1694,53.6058,12.1034,59,Goldberg Mecklenburg-Vorpommern,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
398,5349,53.5196,12.6654,73,Waren (Müritz) Mecklenburg-Vorpommern,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
221,2856,51.9173,13.0878,92,Langenlipsdorf Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
242,3083,51.9267,13.8797,57,Lübben-Blumenfelde Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
241,3082,51.9333,13.8833,56,Lübben Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
186,2475,51.9999,13.101,75,Jüterbog Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
182,2436,52.0547,13.2344,55,Jänickendorf,Brandenburg,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
26,303,52.0613,13.4997,55,Baruth Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
