fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
305,1345,53.3346,13.4371,92,Feldberg Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
400,1869,53.3154,13.9339,56,Grünow Brandenburg,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1197,6109,53.3837,14.3728,51,Grambow-Schwennenz Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1269,7351,53.3176,13.4175,115,Feldberg/Mecklenburg Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
727,3478,53.5468,13.1914,81,Neubrandenburg Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1037,5109,53.5998,13.3039,68,Trollenhagen Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
22,129,53.6893,13.242,30,Altentreptow Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1012,5009,53.761,12.5574,37,Teterow Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1032,5097,54.0654,12.7655,10,Tribsees Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
384,1757,54.0967,13.4056,2,Greifswald Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
385,1758,54.1,13.45,2,Greifswald-Wieck Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
65,298,54.3405,12.7108,3,Barth Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1134,5663,53.4618,13.6099,118,Woldegk Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1198,6110,53.8545,13.4949,11,Medow-Wussentin Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1199,6112,54.267,13.143,2,Stralsund-Devin Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1216,6199,54.2484,13.0419,16,Steinhagen-Negast Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1327,15189,53.8281,12.5936,12,Sukow-Levitzow Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1353,19207,53.8178,12.0645,16,Gülzow-Prüzen Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
587,2796,53.9156,12.279,40,Laage-Kronskamp Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
390,1803,54.0714,12.3238,35,Sanitz-Groß Lüsewitz Mecklenburg-Vorpommern,Frei,22,101,mittlere diluviale Böden MV und Uckermark 
1187,6097,54.4738,12.5014,4,Darßer Ort (SWN) Mecklenburg-Vorpommern,Frei,25,101,mittlere diluviale Böden MV und Uckermark 
254,1106,52.8239,13.7979,45,Eberswalde Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
745,3552,52.9037,12.8071,38,Neuruppin Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
15,96,52.9437,12.8518,50,Neuruppin-Alt Ruppin Brandenburg,Frei,27,102,sandige diluviale Böden des nordostdeutschen Binnentieflandes 
