fid,id,lat,lon,height,name,state,fid_2,id_2,lat_2,lon_2,height_2,name_2,state_2,id_3,OBJID,BEGINN,GF,NUTS_LEVEL,NUTS_CODE,NUTS_NAME
1,2712,47.6952,9.1307,428,Konstanz Baden-Württemberg,Frei,571,2712,47.6952,9.1307,428,Konstanz Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
2,4094,47.8062,9.6206,441,"Weingarten, Kr. Ravensburg Baden-Württemberg",Frei,842,4094,47.8062,9.6206,441,"Weingarten, Kr. Ravensburg Baden-Württemberg",Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
3,1346,47.8748,8.0038,1486,Feldberg/Schwarzwald Baden-Württemberg,Frei,306,1346,47.8748,8.0038,1486,Feldberg/Schwarzwald Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
4,3927,47.9345,9.2869,630,Pfullendorf Baden-Württemberg,Frei,818,3927,47.9345,9.2869,630,Pfullendorf Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
5,1018,47.9422,8.5046,677,Donaueschingen Baden-Württemberg,Frei,233,1018,47.9422,8.5046,677,Donaueschingen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
6,3519,47.9519,8.9932,663,Neuhausen ob Eck-Unterschwandorf Baden-Württemberg,Frei,736,3519,47.9519,8.9932,663,Neuhausen ob Eck-Unterschwandorf Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
7,4419,47.9556,7.7133,212,Schallstadt-Mengen Baden-Württemberg,Frei,906,4419,47.9556,7.7133,212,Schallstadt-Mengen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
8,3518,47.976,8.9101,793,Neuhausen ob Eck Baden-Württemberg,Frei,735,3518,47.976,8.9101,793,Neuhausen ob Eck Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
9,1443,48.0232,7.8343,237,Freiburg Baden-Württemberg,Frei,332,1443,48.0232,7.8343,237,Freiburg Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
10,3001,48.0674,7.677,284,Liliental Baden-Württemberg,Frei,627,3001,48.0674,7.677,284,Liliental Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
11,2638,48.1054,8.7548,974,Klippeneck Baden-Württemberg,Frei,552,2638,48.1054,8.7548,974,Klippeneck Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
12,4189,48.1479,9.4596,534,"Altheim, Kreis Biberach Baden-Württemberg",Frei,858,4189,48.1479,9.4596,534,"Altheim, Kreis Biberach Baden-Württemberg",Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
13,4190,48.1672,9.4951,526,Riedlingen (A) Baden-Württemberg,Frei,,,,,,,,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
14,3268,48.1694,8.9433,900,Meßstetten-Appental Baden-Württemberg,Frei,692,3268,48.1694,8.9433,900,Meßstetten-Appental Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
15,71,48.2156,8.9784,759,Albstadt-Badkap Baden-Württemberg,Frei,8,71,48.2156,8.9784,759,Albstadt-Badkap Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
16,72,48.2766,9.0001,794,Albstadt-Onstmettingen Baden-Württemberg,Frei,9,72,48.2766,9.0001,794,Albstadt-Onstmettingen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
17,2812,48.3647,7.828,156,Lahr Baden-Württemberg,Frei,589,2812,48.3647,7.828,156,Lahr Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
18,3402,48.3851,9.4837,755,Münsingen-Apfelstetten Baden-Württemberg,Frei,721,3402,48.3851,9.4837,755,Münsingen-Apfelstetten Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
19,1468,48.4538,8.409,797,Freudenstadt Baden-Württemberg,Frei,336,1468,48.4538,8.409,797,Freudenstadt Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
20,4294,48.4704,8.9687,360,Rottenburg-Kiebingen Baden-Württemberg,Frei,874,4294,48.4704,8.9687,360,Rottenburg-Kiebingen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
21,2814,48.5122,9.7644,687,Merklingen Baden-Württemberg,Frei,590,2814,48.5122,9.7644,687,Merklingen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
22,3278,48.5377,9.2734,354,Metzingen Baden-Württemberg,Frei,695,3278,48.5377,9.2734,354,Metzingen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
23,6263,47.7738,8.8219,445,Singen Baden-Württemberg,Frei,1233,6263,47.7738,8.8219,445,Singen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
24,7135,47.9655,9.6804,565,Aulendorf-Haslach Baden-Württemberg,Frei,1255,7135,47.9655,9.6804,565,Aulendorf-Haslach Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
25,13667,48.0006,7.845,269,Freiburg-Mitte Baden-Württemberg,Frei,1296,13667,48.0006,7.845,269,Freiburg-Mitte Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
26,2423,47.6894,10.0416,712,Isny Baden-Württemberg,Frei,506,2423,47.6894,10.0416,712,Isny Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
27,2886,48.2175,9.9097,539,Laupheim Baden-Württemberg,Frei,601,2886,48.2175,9.9097,539,Laupheim Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
28,5155,48.3837,9.9524,567,Ulm Baden-Württemberg,Frei,1048,5155,48.3837,9.9524,567,Ulm Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
29,7403,47.7955,10.0325,672,Leutkirch-Herlazhofen Baden-Württemberg,Frei,1284,7403,47.7955,10.0325,672,Leutkirch-Herlazhofen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
30,15444,48.4418,9.9216,593,Ulm-Mähringen Baden-Württemberg,Frei,1333,15444,48.4418,9.9216,593,Ulm-Mähringen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
31,4887,48.6656,9.8648,734,Stötten Baden-Württemberg,Frei,992,4887,48.6656,9.8648,734,Stötten Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
32,3603,49.3895,9.9666,459,Niederstetten Baden-Württemberg,Frei,755,3603,49.3895,9.9666,459,Niederstetten Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
33,881,49.0985,10.0979,423,Crailsheim-Alexandersreut Baden-Württemberg,Frei,200,881,49.0985,10.0979,423,Crailsheim-Alexandersreut Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
34,1197,48.9895,10.1312,463,Ellwangen-Rindelbach Baden-Württemberg,Frei,268,1197,48.9895,10.1312,463,Ellwangen-Rindelbach Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
35,2088,48.6849,10.142,522,Heidenheim/Brenz Baden-Württemberg,Frei,440,2088,48.6849,10.142,522,Heidenheim/Brenz Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
36,7331,48.6099,10.2674,467,Hermaringen-Allewind Baden-Württemberg,Frei,1265,7331,48.6099,10.2674,467,Hermaringen-Allewind Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
37,4169,48.6703,7.9939,131,Rheinau-Memprechtshofen Baden-Württemberg,Frei,854,4169,48.6703,7.9939,131,Rheinau-Memprechtshofen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
38,4931,48.6883,9.2235,371,Stuttgart-Echterdingen Baden-Württemberg,Frei,1000,4931,48.6883,9.2235,371,Stuttgart-Echterdingen Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
39,4933,48.7091,9.2147,401,Stuttgart-Hohenheim Baden-Württemberg,Frei,1001,4933,48.7091,9.2147,401,Stuttgart-Hohenheim Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
40,5559,48.7848,8.5764,383,"Wildbad, Bad-Calmbach Baden-Württemberg",Frei,1117,5559,48.7848,8.5764,383,"Wildbad, Bad-Calmbach Baden-Württemberg",Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
41,4926,48.7896,9.2167,224,Stuttgart (Neckartal) Baden-Württemberg,Frei,996,4926,48.7896,9.2167,224,Stuttgart (Neckartal) Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
42,4928,48.8281,9.2,314,Stuttgart (Schnarrenberg) Baden-Württemberg,Frei,998,4928,48.8281,9.2,314,Stuttgart (Schnarrenberg) Baden-Württemberg,Frei,1,DEBKGNU2000000D6,2025/01/16 00:00:00,4,1,DE1,Baden-Württemberg
