id,lat,lon,height,name,state
00003,50.7827,6.0941,202.0,Aachen Nordrhein-Westfalen,Frei
00044,52.9336,8.237,44.0,Großenkneten Niedersachsen,Frei
00052,53.6623,10.199,46.0,Ahrensburg-Wulfsdorf Schleswig-Holstein,Frei
00071,48.2156,8.9784,759.0,Albstadt-Badkap Baden-Württemberg,Frei
00072,48.2766,9.0001,794.0,Albstadt-Onstmettingen Baden-Württemberg,Frei
00078,52.4853,7.9125,64.0,Alfhausen Niedersachsen,Frei
00091,50.7446,9.345,304.0,Alsfeld-Eifa Hessen,Frei
00096,52.9437,12.8518,50.0,Neuruppin-Alt Ruppin Brandenburg,Frei
00125,47.8342,10.8667,739.0,Altenstadt Bayern,Frei
00129,53.6893,13.242,30.0,Altentreptow Mecklenburg-Vorpommern,Frei
00131,51.0881,12.9326,296.0,Geringswalde-Altgeringswalde Sachsen,Frei
00150,49.7273,8.1164,215.0,Alzey Rheinland-Pfalz,Frei
00154,48.0197,12.2925,516.0,Amerang-Pfaffing Bayern,Frei
00161,50.4237,7.4202,75.0,Andernach Rheinland-Pfalz,Frei
00164,53.0316,13.9908,54.0,Angermünde Brandenburg,Frei
00167,53.8409,13.6854,11.0,Anklam Mecklenburg-Vorpommern,Frei
00183,54.6791,13.4344,42.0,Arkona Mecklenburg-Vorpommern,Frei
00198,51.3744,11.292,164.0,Artern Thüringen,Frei
00221,48.5515,11.7117,483.0,Au i.d.Hallertau-Günzenhausen Bayern,Frei
00222,50.5908,12.7139,393.0,Aue Sachsen,Frei
00232,48.4253,10.9417,462.0,Augsburg Bayern,Frei
00282,49.8743,10.9206,240.0,Bamberg Bayern,Frei
00283,49.8808,10.8695,382.0,Bamberg-Altenburg Bayern,Frei
00288,53.8409,13.7549,3.0,Bargischow-Gnevezin Mecklenburg-Vorpommern,Frei
00298,54.3405,12.7108,3.0,Barth Mecklenburg-Vorpommern,Frei
00303,52.0613,13.4997,55.0,Baruth Brandenburg,Frei
00314,51.1604,14.5042,234.0,"Kubschütz, Kr. Bautzen Sachsen",Frei
00320,49.9666,11.5198,350.0,Heinersreuth-Vollhof Bayern,Frei
00326,51.7204,8.0577,120.0,Beckum-Unterberg Nordrhein-Westfalen,Frei
00342,52.317,8.1694,103.0,Belm Niedersachsen,Frei
00348,50.4135,7.5886,127.0,Bendorf Rheinland-Pfalz,Frei
00361,47.6344,13.0109,550.0,Berchtesgaden (KKst) Bayern,Frei
00368,52.8152,9.9248,69.0,Bergen Niedersachsen,Frei
00377,49.107,7.9967,210.0,"Bergzabern, Bad Rheinland-Pfalz",Frei
00399,52.5198,13.4057,36.0,Berlin-Alexanderplatz Berlin,Frei
00400,52.631,13.5021,60.0,Berlin-Buch Berlin,Frei
00403,52.4537,13.3017,51.0,Berlin-Dahlem (FU) Berlin,Frei
00410,52.404,13.7309,33.0,Berlin-Kaniswall Berlin,Frei
00420,52.5447,13.5598,61.0,Berlin-Marzahn Berlin,Frei
00424,52.5,13.4667,36.0,Berlin-Ostkreuz Berlin,Frei
00427,52.3807,13.5306,46.0,Berlin Brandenburg Brandenburg,Frei
00430,52.5644,13.3088,36.0,Berlin-Tegel Berlin,Frei
00432,52.6044,13.2952,36.0,Berlin-Tegeler Fliesstal Berlin,Frei
00433,52.4676,13.402,48.0,Berlin-Tempelhof Berlin,Frei
00445,51.8218,11.711,85.0,Bernburg/Saale (Nord) Sachsen-Anhalt,Frei
00450,49.9186,7.0664,120.0,Bernkastel-Kues Rheinland-Pfalz,Frei
00460,49.2641,6.6868,362.0,Berus Saarland,Frei
00502,49.8643,9.5044,371.0,Bischbrunn-Oberndorf Bayern,Frei
00535,50.0372,7.3079,417.0,Blankenrath Rheinland-Pfalz,Frei
