id,lat,lon,height,name,state
00001,47.8413,8.8493,478.0,Aach Baden-Württemberg,Frei
00003,50.7827,6.0941,202.0,Aachen Nordrhein-Westfalen,Frei
00011,47.9736,8.5205,680.0,Donaueschingen (Landeplatz) Baden-Württemberg,Frei
00044,52.9336,8.237,44.0,Großenkneten Niedersachsen,Frei
00052,53.6623,10.199,46.0,Ahrensburg-Wulfsdorf Schleswig-Holstein,Frei
00061,48.8443,12.6171,339.0,Aiterhofen Bayern,Frei
00070,48.2052,9.0371,712.0,Albstadt-Ebingen Baden-Württemberg,Frei
00071,48.2156,8.9784,759.0,Albstadt-Badkap Baden-Württemberg,Frei
00072,48.2766,9.0001,794.0,Albstadt-Onstmettingen Baden-Württemberg,Frei
00073,48.6183,13.062,374.0,Aldersbach-Kramersepp Bayern,Frei
00078,52.4853,7.9125,64.0,Alfhausen Niedersachsen,Frei
00090,50.7557,9.2583,305.0,Alsfeld Hessen,Frei
00091,50.7446,9.345,304.0,Alsfeld-Eifa Hessen,Frei
00093,50.7691,9.2542,269.0,Alsfeld-Reibertenrod Hessen,Frei
00096,52.9437,12.8518,50.0,Neuruppin-Alt Ruppin Brandenburg,Frei
00098,51.189,8.4671,780.0,Altastenberg Nordrhein-Westfalen,Frei
00102,53.8633,8.1275,0.0,Leuchtturm Alte Weser Niedersachsen,Frei
00106,51.7976,10.4429,500.0,Altenau,Niedersachsen
00116,50.9833,12.4333,213.0,Altenburg Thüringen,Frei
00125,47.8342,10.8667,739.0,Altenstadt Bayern,Frei
00126,49.5447,10.2213,330.0,Uffenheim (Schulstr.) Bayern,Frei
00129,53.6893,13.242,30.0,Altentreptow Mecklenburg-Vorpommern,Frei
00131,51.0881,12.9326,296.0,Geringswalde-Altgeringswalde Sachsen,Frei
00132,49.7725,12.3891,750.0,Altglashütte Bayern,Frei
00142,48.406,11.3117,511.0,Altomünster-Maisbrunn Bayern,Frei
00150,49.7273,8.1164,215.0,Alzey Rheinland-Pfalz,Frei
00151,49.4691,11.8546,382.0,Amberg-Unterammersricht Bayern,Frei
00154,48.0197,12.2925,516.0,Amerang-Pfaffing Bayern,Frei
00161,50.4237,7.4202,75.0,Andernach Rheinland-Pfalz,Frei
00164,53.0316,13.9908,54.0,Angermünde Brandenburg,Frei
00167,53.8409,13.6854,11.0,Anklam Mecklenburg-Vorpommern,Frei
00169,50.573,13.0053,630.0,Annaberg-Buchholz Sachsen,Frei
00172,52.2486,9.5056,395.0,Annaturm Niedersachsen,Frei
00174,49.1886,7.9766,250.0,Annweiler-Bindersbach Rheinland-Pfalz,Frei
00175,49.2964,10.5751,413.0,Ansbach Bayern,Frei
00176,49.2475,10.5826,481.0,Ansbach-Claffheim,Bayern
00177,49.3158,10.5815,418.0,Ansbach-Hennenbach Bayern,Frei
00181,52.8761,11.5042,30.0,Arendsee Sachsen-Anhalt,Frei
00183,54.6791,13.4344,42.0,Arkona Mecklenburg-Vorpommern,Frei
00184,52.6769,12.0077,55.0,Arneburg Sachsen-Anhalt,Frei
00185,54.6289,9.9294,3.0,Arnis Schleswig-Holstein,Frei
00186,51.3773,8.0713,218.0,Arnsberg Nordrhein-Westfalen,Frei
00191,49.9694,9.9114,217.0,Arnstein-Müdesheim Bayern,Frei
00193,51.3845,9.082,232.0,Arolsen-Neu Berich Hessen,Frei
00197,51.3219,9.0558,365.0,"Arolsen-Volkhardinghausen, Bad Hessen",Frei
00198,51.3744,11.292,164.0,Artern Thüringen,Frei
00202,49.9771,9.1091,111.0,Aschaffenburg Bayern,Frei
00207,51.7498,11.4667,105.0,Aschersleben Sachsen-Anhalt,Frei
00211,50.58,8.4685,200.0,Aßlar Klein-Altenstädten Hessen,Frei
00217,47.8774,11.3643,670.0,Attenkam Bayern,Frei
00221,48.5515,11.7117,483.0,Au i.d.Hallertau-Günzenhausen Bayern,Frei
00222,50.5908,12.7139,393.0,Aue Sachsen,Frei
00231,48.3723,10.8948,490.0,Augsburg (Sankt Stephan) Bayern,Frei
00232,48.4253,10.9417,462.0,Augsburg Bayern,Frei
00243,53.4621,7.467,4.0,Aurich Niedersachsen,Frei
00257,48.727,8.2457,240.0,Baden-Baden-Geroldsau Baden-Württemberg,Frei
00259,47.8064,7.6387,275.0,Müllheim Baden-Württemberg,Frei
00268,48.5293,8.2727,622.0,Baiersbronn-Obertal Baden-Württemberg,Frei
00273,47.8413,9.6606,467.0,Baindt Baden-Württemberg,Frei
00282,49.8743,10.9206,240.0,Bamberg Bayern,Frei
00283,49.8808,10.8695,382.0,Bamberg-Altenburg Bayern,Frei
00284,49.88,10.88,282.0,Bamberg (Sternwarte) Bayern,Frei
00288,53.8409,13.7549,3.0,Bargischow-Gnevezin Mecklenburg-Vorpommern,Frei
00294,52.3199,9.43,110.0,Barsinghausen-Hohenbostel Niedersachsen,Frei
00298,54.3405,12.7108,3.0,Barth Mecklenburg-Vorpommern,Frei
00303,52.0613,13.4997,55.0,Baruth Brandenburg,Frei
